text,text_sentiment
@jimcramer housing market came halt. fed must raise interest rates aggressively. oil food way up. violent crime new $vix #gold sales way #stockmarketcrash soon!,-1
@mert1mert0 @fereiliquid @jon2lol @natashalfawn ruff house wishing peeps projects lose clonex attacking fellow clones would say qualifies sentiment tings it__ pretty pathetic like said detected inclusivity group zealotry &amp; low brow behavior others #bearmarket tings__,-1
loss like weight loss __ #stockmarketcrash #nifty #stockmarket,-1
__ll time low everywhere_ ______ #stockmarketcrash #cryptocrash,-1
didn__ hold @15650 made low @15328 almost 300 points__ #nifty50 #niftyoptions #niftyfuture #stockmarketcrash #stockmarkets,-1
"willing sell profit, prepared sell loss profit. #sensex #nifty #bearmarket #buythedip",1
adani wilmar strong....... #stockmarketcrash,0
@sagonicauz @neonexdeath @elonmusk obama made housing crash 2010 one else. policies honest bite dust would use different word i__ censored twitter think biden running show naive #obamadepression #stockmarketcrash #fjb @elonmusk,-1
@jimcramer thought #bearmarket over____,0
#stockmarketcrash inflation's / stocks corporation's earnings who's really getting hosed here?,0
#stockmarketcrash bring it!!! want see panic ..,-1
#stockstobuy #stockmarkets #stockmarketcrash great news ba! 1- future incidents put blame faa. 2- means 787 ready cert. 3- door problem solved 787. 4- nobody expecting 787 ready delivery now. noise!,1
"""keep simple. simple time tested methods well executed beat fancy complicated methods every time."" - curtis faith #trading #stockmarketcrash",1
thing interested regarding #russia #ukraine #stockmarketcrash buy! buy! buy!,1
good morning everyone _ï¸ welcome ever growing community. first physical real-estate nft club. road map coming soon_ ______ #nftcommumity #bearmarket #realestate #cryptocurrency,1
$shib looking super #bullish #bearmarket,1
"#stockmarketcrash fed raises rates, slowing loans, shrink job growth, cutting jobs, reducing wages, bring inflation. smartest person here, seems going end well given little already make.",1
@axios thanks weather report. thought biden's #stockmarketcrash ?,1
xrp lawsuit ending could catalyst need lift us bearville. hope bags packed. #ripple #xrp #xrparmy #cryptocurrency #bearmarket,1
"believe crypto dead btc goint 0, open shorts leave rest us go business #cryptotwitter #bitcoin #bearmarket p.s. y'all take look @ezu_xyz , art speaks",-1
realizing dow jones 10% week. way fed get target rate 3 rate hikes. take unless believe dow going zero. #ratecutscomingsoon $spx #stockmarketcrash #stockmarket,-1
"#fomc keep buying, best #altcoins? anyway, back ath! agree? thoughts__ #strategy #bearmarket2022",1
$lyc new highs #bearmarket __,0
adding $vixy core holding overnight stop hit #riskmanagement #hedging #stocks #stockmarket #bearmarket2022,-1
"there__ anything learned space @moonrovingbtc__ show, it__ tell turn post notifications! _ __ #solana #solananft #solanasummer #nftcommmunity #metaverse #bearmarket2022",0
investors lost everything today #stockmarketcrash #war,-1
patience waiting. passively waiting. laziness. keep going going hard slow _ patience. two powerful warriors patience time. _ leo tolstoy #stockmarketcrash,1
@altcoinsherpa working mcds gets discount #bearmarket,0
@invest_answers opinion matter discussing #bearmarket #bullmarket ... kind inflationwar market. drives fed move traditional markets move #crypto. #crypto still young become counterpart whole economy. day come...,1
"#inflation, #stockmarketcrash, pending mortgage housing crisis bigger threat democracy "" #january6thinsurrection "" economy matters working-class americans #january6thcommitteehearings #jan6thhearings partisan pornography",-1
#stockmarketcrash #cryptocrash #gyanvapirow #godimediadisaster4india,0
buy blood street! don__ catch falling knife!! #stockmarketcrash #buythedip,-1
two days crypto like months irl right? ___#crypto #bearmarket,1
believe netflix undervalued. #netflix #stockmarketcrash #warrenbuffett #bitcoin,0
"least catch sleep, exercise see wives still around point looking prices except #btc times week foreseeable #crypto #bearmarket #altcoinseason2022 _¤£_¤£_¤£_¤£_¤£",-1
everyone sees #stockmarketcrash. see cheapies!!!!! yay!!,1
__uxury_ apartments don__ even luxury! #stockmarketcrash #apartment,0
good nuke morning _ #stockmarketcrash,1
listen indian analyst watch tv watch dow jones fact sensex follow dow jones #stockmarketcrash,0
@investingswede try seeing golden opportunity. people don't. throw money market expect grow back. comes knowledge marketplace. educate yourself! (comment goes everyone) #stockmarketcrash,1
"shelling one end, selling another. #stockmarketcrash #ukrainerussianwar #nseindia",0
"heard buy dip .on serious note ,can somebody tell dip market __#trader #bearmarket #nifty50",-1
#breakingnews #breaking #politics #news #trending #cryptocurrency #stockmarketcrash #trumprally #bidensamerica block promoted twitter post comes across feed. join block #blockpromotedpost movement.,-1
"point, market down, one buy? #stockmarket #nifty #stockmarketcrash #stockmarketindia",0
"learning triz framework work, gave idea: #bearmarket waking long hibernation, apply theoretical crisis company consider effects. $amc survive another shutdown? $tsla survive german gas cutoff?",-1
trump could make one phone call putin put stop mess __ would dope!! #bidenisafailure #stockmarketcrash,-1
"#stockmarketcrash trending markets today, america thrives war it__ number one way state makes money",-1
"michael burry predicts something, please take account. guy dangerous, way. already predicted #stockmarketcrash. also, currently shorting apple stocks. however, warren buffett still investing apple. one really wrong.",-1
every swing trader long term investor __ #stockmarketcrash,0
valentines day special - everything red #stockmarketcrash,1
@dailywishind #investing #stockmarketcrash #stock #optionstrading #retailinflation 200 points mil raha hai retailers exit ka socho. inflation koi rato rato theek nahi ho sakti. rbi ne next policy 8th june ko 0.75% increase karna hai. kaha per accha hai.,1
good morning everyone except lost money today. oops! ____ #bearmarket,1
"panicking &amp; freaking market crash means: _your overleverage _using money can't afford lose _you ""trying"" trader _you research. #facts #cryptocrash #stockmarketcrash",-1
#stockmarketcrash worry folks. people like nancy pelosi fine. insider trading secrets.,1
nasdaq futures 160bps - looking volatility tomorrow. shoulda bought levered vix __ #vix #stockmarketcrash #nasdaq #sp500 #fintwit,0
shorted $trex today right morning high (~ $104) full position. using 200 day stop limit. let__ go #bearmarket __!!,-1
lic supports everyone one supports lic. #licipo #stockmarketcrash,1
"recent interview, @saylor pointed despite current #bearmarket, #btc shoot $1 million. ____ according him, #btc truly unique asset terms #adoption #security. __ agree? share views ¬__",1
"accept defeat, losses failures make resilient. #bearmarket #solana #nfts",-1
$tsla cheap! sayin_ #stockmarketcrash,0
join together telegram discord #bearmarket prepare next bullrun. really want it.,1
"gonna hit $1 first, $luna $ust? lolz #cryptomeltdown #vc #luna #bearmarket #cardano #ada",1
better wait days market go low start investing. current market fluctuation may due fear hoping get settle sooner. #stockmarketcrash,1
everyone talking #stockmarketcrash work managers begging night rte cos everyone calling sick today cos one wants work __ fine i__l make ot like always cry poor _¤·_____ï¸ __,-1
"today's market testament fact people act whims emotions often end losing side. ""sach aur sahas hai jiske man mei-ant mei jeet ussi ki hove"" #marketcrash #stockmarketcrash #stockmarketindia #poonjimitra #investment",-1
#nfts tanking average 50% first #bearmarket hang it__ going get messy #btc sub 20k flooring inbound.,-1
another one. wait patiently. #bearmarket,0
there__ nothin talk crypto__ &amp; sticks right now. absolutely nothin. focus sports. long term guess. #bearmarket #bitcoin,0
comments current crypto market?___ #cryptocurrency #bearmarket #nftcommunity #cryptomarket,0
alright.... dips buying up? #stockmarketcrash,0
"intra day trading like selling tomatoes sabzi mandi positional trading like selling diamonds, look potential buyers #stockmarketindia #nifty #bnf #stockmarketcrash",1
nothing changed timeline #cryptocrash #stockmarketcrash,0
one hits 0 first? #fintwitter #stockmarketcrash,0
"complex options traders at?i would love build small network group, many us tweet it.if drop line below. #optionstrading #optionselling #spx #spy #vix #stockmarket #cboe #chicago #stocktrading #ndx #newyork #futures #stockmarketcrash",1
"#stocks #stockmarketcrash #stockstotrade today indian stock market emotional, crying every funeral going road.",-1
every hyped #nft project stuck 0.2-0.4 floor _¤£__ #nftwinter #nftgiveaway #bearmarket #nftcollector #nftcommunity,-1
"major business review: i) uk business: 14% qoq, contributes 40% global revenue ii) india business: 28% yoy,contributes 18% global revenue _ºï_20 patents filed quarter ended 31st december 2021 #results #stockmarket #stockmarketcrash #stocks #nifty",0
#bearmarket much red,0
"#stockmarketcrash | ""2022 weak year markets. prepared zero returns next 12 months"" says mahesh nandurkar #jefferies.",-1
oh crypto thing isn__ crypto failing going away_ case seems indication hard rescission be. #idk #stockmarketcrash #crypto,-1
bhai sare fintwits ne toh paisa banaya hai aj_ toh gavaya kisne fir??? zero sum game nahi hai kya ye ?? ___¤ª #nse #bse #stockmarketcrash #stockmarket #stockmarketindia #indianfintwit @indianfintwit #fintwit,0
food thought. focus yourself. accumulate @samoyedcoin .01 bear market. like - wen $1. accumulate 1 million. dog god next dog bull run. @shibtoken @dogecoin @bitcoin #btc #crypto #bearmarket #bitcoincrash,1
time market &gt; timing market__ #bearmarket #cryptocurrency #cryptocrash,0
"@realmeetkevin thought trump giving 1% trillion dollar tax cut &amp; printing another $7 trillion plague something #stockmarketcrash biden's spending bill help either. see there, facts propaganda personal agenda.",-1
new retail investor ..who taken small crash course markets today crashed. #stockmarketcrash #aravchoudhary #acsongmaker,-1
pump sustain guest #btc #bearmarket,0
@altcoingordon #bearmarket time __,0
"something gone since 2008 gfc decade, complete move six months? take 18-24-36 months slow downward gyrating move complete? #bearmarket",0
wonder rank group stock market game __ #stockmarketcrash,0
mr. putin owe 1 lac rupees__. #nifty #stockmarketcrash #bse #ukrainerussiacrisis,0
@atlrey obama #stockmarketcrash,0
"ready soon next bearish news global cues. going ultra bullish. market bid downside &gt;30% possible. upside range bound 2022. ev, sugar, 5g n clean energy work well. #nifty50 #niftyfuture #stockmarketcrash #stockmarketindia",1
keep seeing people brag joe biden wages gone 5.6% sounds good leaving fact inflation 8.5% even raise lost money #stockmarketcrash #facts #ultramaga,-1
@cryptonostra @cctip_com #wallstreetbets #stockmarketcrash,0
"toady stock market, circuit savior, thank god thank sebi #stockmarketcrash #stocks",1
know retail investors taking risk seriously #stockmarketcrash trending. may different time!,-1
market extremely oversold now. strong pullback come tomorrow monday. try catch momentum trade #nifty #banknifty #stockmarketcrash #stockmarketindia #niftyoptions,1
"time buy/hold, don__ sell everybody else __ #nft #crypto #bearmarket #hodl",0
millionaires made bear market! let repeat again! millionaires made bear market! #nft #cryptocurrency #crypto #bearmarket,0
say #crypto volatile __ #stockmarketcrash #stocks #stockmarketindia #bitcoin #reducecrptotax #,0
need sum cinco de moutho _____¤£__ #multiverseofmadness #stockmarketcrash #thecontrarian,0
#stockmarketcrash worse @mitchellbiden69 haircut,-1
@rovercrc that's virgin boy think sex better anyone else #bearmarket,1
"$spy possible market finally dumped keep $amc, $gme squeezing??? ___ #moass #moassiscoming #moass2022 #stockmarket #stockmarketcrash",-1
"breaking: white house urges americans leave ukraine next '24 48 hours,' warns us rescue civilians russia invades - ap sell #stonks b4 close buy 25% ""dip"" next week? #es_f #stocks #stockmarketcrash #stockstowatch #stockstotrade",-1
rush buy dip! #bitcoincrash #bullttap #btc #ethereum #nft #bearmarket #altcoins,0
"stock market strategy: buy get poor wait -wait - wait - wait - everyone gets tired, start. #stockmarketcrash #nifty #bearmarket",-1
#nifty reversed lower twice 16400+ past 2 days &amp; today broken 16100. looks like headed lower 16k b4 see meaningful bounce back. us cpi apr coming today may see dxy spiking data released. #stockmarket #stockmarketcrash,-1
crypto crash? thoughtful answers? macroeconomic reasons? russia waging war jarring world economy? natural correction response frothy hype-beast speculative space? thoughts? #bitcoincrash #stockmarketcrash #crypto #nftcommunity,-1
#stockmarketcrash actually #discountsale!,0
today portfolio fall 6.5% overall -3%. what's position portfolio?? #stockmarketcrash #buythedip #nifty #banknifty #stocks #stockmarketindia #stockmarkets #sensex,0
"#crypto prices down. perfect time #keepstackin! opened first $strong node price $300 token! staked another 100 $hydra coins, another million $vss earning 2% $cro every time use @cryptocom card! #bearmarket make wealthy!",1
coming large numbers purchase nomination form 100m naira. wicked &amp; heartless world. apc poli-trick-cians rate nigerian masses. think voting criminals back power 2023. #beergate #cryptocurrency #stockmarketcrash,-1
"damn, bitcoin pull huge april fools day joke crashing 25k?!?! _¤ªhappy april fools day! broke lol #aprilfools #bitcoin #bitcoinaprilfoolsday #btc #bearmarket #btccrash #weregoingdown #wheresthefloor #btc20k #aprilfoolsday2022",-1
@rohanjt @cz_binance @cz_binance literally reports well analyzed #bnb #busd #bnbchain well recent weeks even #bearmarket #binance #bitcoin,1
#stockmarketcrash #recession #inflation #btc,0
react make #bearmarket #btc #bitcoin #eth #ethereum #metaverse #nfts #bear,0
"oh ! market participants shouldn__ worry. india__ inflation number us__. market isn__ bothered happening country. #inflation #nifty #stockmarket though, bear short term perspective #bearmarket",-1
fast #rinos #democrats ruin #america? 30-year mortgage doubled since january 6%. #mortgagerates #recession #depression #inflation #stockmarketcrash #energycrisis #bordercrisis #crime #depravity,-1
"wild week. partner, family, friends think crazy buying heck bear market. scared money make money. __ #bearmarket #bullish #cryptocrash",-1
markets instruments transferring wealth thats learn play instruments change life aswel around money made #bearmarket q2 2023 recovering mostly could cycles speed,1
sell may go away? _ #stockmarketcrash,0
#bearmarket cash king _¤´ cash queen __,0
trading market investing market #daytrading #stockmarketcrash #bearmarket,0
"said btc 35k, first week may..that btc crash 10k another bull run, nobody believed me, saying again...10k btc possible another rally soon #btc #coinbase #bearmarket #nft #nfts #arsenal",-1
wish money buy dip #buythedip #tradingtips #bearmarket,1
"scared buy now? scared buy nifty =18500 ? perception changed, business fundamentals #investing #stockmarketcrash",-1
"aurinia pharmaceuticals ( $auph) stock plunges around 20% pre-market trade net loss widens fourth-quarter earnings, revenue falls! #stockmarketcrash #stockmarkets #stocksinfocus #stocksmarket #stocksinnews #news #auph #pharmaceuticals",-1
$eth price back 2020_ stay safe focused _¤ï_ #eth #btc #bearmarket,1
jerome paul worst chair federal reserve playing economy dirty strategy like roller coaster! resign! #cryptocrash #stockmarketcrash #federalreserve #economy #unemployment #recession #stockmarket #bitcoin #eth #crudeoil ____________,-1
"told 2 months ago #luna 1_, #sol 42_, #cardanoada 0,44_ would happen, would call crazy. crazy now? lol #crypto #bearmarket #blockchain",-1
"@ashwanigujral6 sir respect dil sei ? men, stick word ??? #nifty #stockmarketcrash #nifty50",1
don__ watch cnbc it__ bar. laughable desperate analysts tell we__e already reached __ottom_. desperation comes mind. #stockmarketcrash #stockmarket #cnbc,-1
#earthquake every today :-) market well #stockmarketcrash,1
looks dippiest point $17600 #btc #bitcoin #bearmarket2022,0
"looks like bounce going hold bit. good tech relative strength. could last day 3 more, absent fundamental catalyst (i.e. strong market response earnings) likely bounce sell into. #bearmarket",1
look below!!! #stockmarketcrash #stockmarket #bidenflation #bidenworstpresidentever,0
everyone tweeting #bearmarket... guess first rodeo,0
everyone posting pictures reason feds bustin market. still gonna ppp hustlers game__ ijk __ glad market too. #pro #trader #cryptocrash #nft #stockmarketcrash #theskyisfalling,1
@officialdgispr mubarak ho #stockmarketcrash,0
@crypto_birb #bearmarket,0
______ money losing 7% every year due inflation decided invest stock market. i__ losing 7% every day. src - whatsapp #investing #stockmarketcrash,-1
"#stockmarketindia stocks fall solely due threat nuclear war, buy dip; 1. nuclear war happen make profits. 2. nuclear war happens wont need money. #buythedip #cryptocurrency #stockmarketindia #stockmarketcrash #warinukraine",-1
market conditions today worse understand end! part solana community #bearmarket,-1
"worried stock market's recent plunge? don't. panic. losses normal. corrections normal. and, get there, bear markets normal too. #stockmarkets #bearmarket",1
@rovercrc dead cat bounce. strategy whales. easily drop market. drop way one able sell. 2017. #bearmarket,-1
ahi viene el vergaso #bitcoin #bearmarket #crisis #recesion,0
@martiniguyyt downside come... midterm least #alts #altcoins #bearmarket,-1
@scottmelker moon june. die july. bust august. rektember. lower october. remember december. #bearmarket,-1
@___walkingl #bearmarket __,0
"@enjin @thesandboxgame prime buys right now. two #metaverse #tokens high ceiling potential unfortunate #bearmarket opened exquisite opportunity many move position. take advantage can. course, #dyor ___¾_____",1
"must vision long term, operating bounce boost, trade acumulating... many time could last crisis.#bearmarket #btc #eth #ethereum #bitcoin #sp500 #spx #bearmarket",1
nifty every war situation average drawdown: 26.5 % 3 months: +23 % 6 months: + 34 % lesson: stay invested! #stockmarketcrash #nseindia #stockmarketindia #daytrading #stockmarketnews #trading #india,-1
#bearmarket high quality projects survive. ones building innovating withouth noise bullrun real deal. hype #fundamentals finally important __ @radixdlt $xrd #nfa _ #radix4thewin #radix,1
go path may lead instead go path leave trail. #yks2022 #fuelprices #stockmarketcrash #atinydisband,-1
"#stockmarketcrash #cryptocurrency hey guys u wanna know something really screwed evryone stock market crashed? panicking, people power made rash decisions stocks crash, risky hurt economy.",-1
#cryptocurrency #cryptocrash #luna #lunacoin #btc #ethereum #bearmarket,0
"every time check robinhood account, feel like crying!!! ______. what's happening stock market? #robinhood #stockmarketcrash",-1
"love family member asks #crypto, asks invest in.... #bearmarket",-1
"thing #bearmarket #nfts well, apply micros &amp; macros tokenized asset?",1
two options!? #fed #inflation #fintwit #recession #economy #bearmarket #stagflation #stockmarket #stockmarketcrash,0
shorted $bboz. interested day day. overall going big time. market going crash yet! #stockmarketcrash #asx,0
#stockmarketcrash #sebi #nifty50 #sensex market correction going on.,0
find opportunities #stockmarketcrash,1
#stockmarketcrash buy dip? wait russia invades usa also?,0
"go, another horrible day #stockmarketcrash . feel could wrong, feel @potus administration #pelosi new stocks would crash ahead this, planned took advantage it. illegal?",-1
#stockmarketcrash everyone's portfolio red now._,0
